source_row,label,binary_target,random_forest_prediction,traditional_prediction,random_forest_correct,traditional_correct
982,DoS Hulk,1,1,0,True,False
986,BENIGN,0,0,1,True,False
988,BENIGN,0,0,1,True,False
989,BENIGN,0,0,1,True,False
996,BENIGN,0,0,1,True,False
998,DDoS,1,1,0,True,False
1008,DDoS,1,1,0,True,False
1028,BENIGN,0,0,1,True,False
1032,BENIGN,0,0,1,True,False
1049,BENIGN,0,0,1,True,False
1051,BENIGN,0,0,1,True,False
1053,DDoS,1,1,0,True,False
1054,BENIGN,0,0,1,True,False
1056,BENIGN,0,0,1,True,False
1073,DDoS,1,1,0,True,False
1089,BENIGN,0,0,1,True,False
1091,BENIGN,0,0,1,True,False
1100,BENIGN,0,0,1,True,False
1104,BENIGN,0,0,1,True,False
1111,BENIGN,0,0,1,True,False
1114,DoS slowloris,1,1,0,True,False
1125,PortScan,1,1,0,True,False
1132,DDoS,1,1,0,True,False
1138,DoS Hulk,1,1,0,True,False
1143,BENIGN,0,0,1,True,False
1155,DoS GoldenEye,1,1,0,True,False
1175,DDoS,1,1,0,True,False
1179,BENIGN,0,0,1,True,False
1185,DDoS,1,1,0,True,False
1186,BENIGN,0,0,1,True,False
1196,DoS slowloris,1,0,1,False,True
1200,BENIGN,0,0,1,True,False
1208,DoS Hulk,1,1,0,True,False
1211,DDoS,1,1,0,True,False
1221,DDoS,1,1,0,True,False
1224,DDoS,1,1,0,True,False
1238,BENIGN,0,0,1,True,False
1243,DDoS,1,1,0,True,False
1259,BENIGN,0,0,1,True,False
1262,DDoS,1,1,0,True,False
1264,BENIGN,0,0,1,True,False
1289,BENIGN,0,0,1,True,False
1297,BENIGN,0,0,1,True,False
1314,PortScan,1,1,0,True,False
1319,BENIGN,0,0,1,True,False
1321,DoS Hulk,1,1,0,True,False
1325,BENIGN,0,0,1,True,False
1333,BENIGN,0,0,1,True,False
1335,DDoS,1,1,0,True,False
1338,BENIGN,0,0,1,True,False
1364,BENIGN,0,0,1,True,False
1367,BENIGN,0,0,1,True,False
1370,BENIGN,0,0,1,True,False
1376,BENIGN,0,0,1,True,False
1383,FTP-Patator,1,1,0,True,False
1386,BENIGN,0,0,1,True,False
1392,DDoS,1,1,0,True,False
1394,DDoS,1,1,0,True,False
1407,BENIGN,0,0,1,True,False
1412,BENIGN,0,0,1,True,False
1421,DDoS,1,1,0,True,False
1423,BENIGN,0,0,1,True,False
1431,DDoS,1,1,0,True,False
1435,FTP-Patator,1,1,0,True,False
1454,BENIGN,0,0,1,True,False
1456,DoS Hulk,1,1,0,True,False
1460,DoS slowloris,1,1,0,True,False
1473,BENIGN,0,0,1,True,False
1477,FTP-Patator,1,1,0,True,False
1491,DDoS,1,1,0,True,False
1498,BENIGN,0,0,1,True,False
1513,DDoS,1,1,0,True,False
1515,BENIGN,0,0,1,True,False
1518,BENIGN,0,0,1,True,False
1531,DoS Hulk,1,1,0,True,False
1533,BENIGN,0,0,1,True,False
1561,BENIGN,0,0,1,True,False
1565,BENIGN,0,0,1,True,False
1566,BENIGN,0,0,1,True,False
1570,BENIGN,0,0,1,True,False
1571,BENIGN,0,0,1,True,False
1591,BENIGN,0,0,1,True,False
1601,DDoS,1,1,0,True,False
1602,BENIGN,0,0,1,True,False
1622,BENIGN,0,0,1,True,False
1627,DDoS,1,1,0,True,False
1630,BENIGN,0,0,1,True,False
1631,BENIGN,0,0,1,True,False
1636,BENIGN,0,0,1,True,False
1646,BENIGN,0,0,1,True,False
1648,DoS Hulk,1,1,0,True,False
1651,BENIGN,0,0,1,True,False
1659,BENIGN,0,0,1,True,False
1661,DoS Hulk,1,1,0,True,False
1670,BENIGN,0,0,1,True,False
1672,BENIGN,0,0,1,True,False
1674,DDoS,1,1,0,True,False
1678,BENIGN,0,0,1,True,False
1690,BENIGN,0,0,1,True,False
1713,DDoS,1,1,0,True,False
1725,BENIGN,0,0,1,True,False
1732,DDoS,1,1,0,True,False
1742,BENIGN,0,0,1,True,False
1744,BENIGN,0,0,1,True,False
1751,BENIGN,0,0,1,True,False
1752,BENIGN,0,0,1,True,False
1764,BENIGN,0,0,1,True,False
1767,BENIGN,0,0,1,True,False
1774,DDoS,1,1,0,True,False
1776,DDoS,1,1,0,True,False
1793,DDoS,1,1,0,True,False
1802,BENIGN,0,0,1,True,False
1803,BENIGN,0,0,1,True,False
1823,BENIGN,0,0,1,True,False
1825,DDoS,1,1,0,True,False
1827,BENIGN,0,0,1,True,False
1832,DDoS,1,1,0,True,False
1838,DoS Slowhttptest,1,1,0,True,False
1845,DDoS,1,1,0,True,False
1850,DDoS,1,1,0,True,False
1860,DoS Hulk,1,1,0,True,False
1866,DDoS,1,1,0,True,False
1876,DDoS,1,1,0,True,False
1878,DoS Slowhttptest,1,0,1,False,True
1883,BENIGN,0,0,1,True,False
1887,DDoS,1,1,0,True,False
1897,DDoS,1,1,0,True,False
1898,BENIGN,0,0,1,True,False
1901,BENIGN,0,0,1,True,False
1902,BENIGN,0,0,1,True,False
1909,DDoS,1,1,0,True,False
1917,BENIGN,0,0,1,True,False
1918,BENIGN,0,0,1,True,False
1922,BENIGN,0,0,1,True,False
1923,BENIGN,0,0,1,True,False
1927,DoS GoldenEye,1,1,0,True,False
1935,FTP-Patator,1,1,0,True,False
1943,DoS Hulk,1,1,0,True,False
1946,BENIGN,0,0,1,True,False
1948,BENIGN,0,0,1,True,False
1960,DDoS,1,1,0,True,False
1962,DDoS,1,1,0,True,False
1973,DoS Hulk,1,1,0,True,False
1980,BENIGN,0,0,1,True,False
2005,DoS Hulk,1,1,0,True,False
2011,DDoS,1,1,0,True,False
2015,BENIGN,0,0,1,True,False
2036,DoS Hulk,1,1,0,True,False
2056,BENIGN,0,0,1,True,False
2057,DDoS,1,1,0,True,False
2064,DDoS,1,1,0,True,False
2067,DoS Slowhttptest,1,1,0,True,False
2068,BENIGN,0,0,1,True,False
2076,DDoS,1,1,0,True,False
2081,DoS Hulk,1,1,0,True,False
2084,DoS Hulk,1,1,0,True,False
2095,BENIGN,0,0,1,True,False
2110,BENIGN,0,0,1,True,False
2111,DDoS,1,1,0,True,False
2119,BENIGN,0,0,1,True,False
2121,DDoS,1,1,0,True,False
2127,DDoS,1,1,0,True,False
2133,BENIGN,0,0,1,True,False
2142,BENIGN,0,0,1,True,False
2143,BENIGN,0,0,1,True,False
2152,BENIGN,0,0,1,True,False
2156,BENIGN,0,0,1,True,False
2162,BENIGN,0,0,1,True,False
2169,DDoS,1,1,0,True,False
2181,BENIGN,0,0,1,True,False
2183,Web Attack - Brute Force,1,1,0,True,False
2184,DDoS,1,1,0,True,False
2185,BENIGN,0,0,1,True,False
2192,Bot,1,0,1,False,True
2198,BENIGN,0,0,1,True,False
2207,DDoS,1,1,0,True,False
2215,Web Attack - Brute Force,1,1,0,True,False
2218,BENIGN,0,0,1,True,False
2219,BENIGN,0,0,1,True,False
2225,BENIGN,0,0,1,True,False
2227,BENIGN,0,0,1,True,False
2242,BENIGN,0,0,1,True,False
2253,BENIGN,0,0,1,True,False
2259,DDoS,1,1,0,True,False
2263,DDoS,1,1,0,True,False
2264,BENIGN,0,0,1,True,False
2266,BENIGN,0,0,1,True,False
2274,DDoS,1,1,0,True,False
2279,BENIGN,0,0,1,True,False
2311,BENIGN,0,0,1,True,False
2313,BENIGN,0,0,1,True,False
2314,BENIGN,0,0,1,True,False
2321,BENIGN,0,0,1,True,False
2329,BENIGN,0,0,1,True,False
2340,DoS Hulk,1,1,0,True,False
2341,BENIGN,0,0,1,True,False
2347,DDoS,1,1,0,True,False
2349,BENIGN,0,0,1,True,False
2351,BENIGN,0,0,1,True,False
2364,BENIGN,0,0,1,True,False
2368,BENIGN,0,0,1,True,False
2372,BENIGN,0,0,1,True,False
2374,BENIGN,0,0,1,True,False
2384,BENIGN,0,0,1,True,False
2389,BENIGN,0,0,1,True,False
2391,BENIGN,0,0,1,True,False
2397,BENIGN,0,0,1,True,False
2403,DDoS,1,1,0,True,False
2414,FTP-Patator,1,1,0,True,False
2440,BENIGN,0,0,1,True,False
2444,DDoS,1,1,0,True,False
2451,DoS Hulk,1,1,0,True,False
2458,BENIGN,0,0,1,True,False
2475,BENIGN,0,0,1,True,False
2478,DDoS,1,1,0,True,False
2482,DoS Hulk,1,1,0,True,False
2488,DoS Slowhttptest,1,1,0,True,False
2504,BENIGN,0,0,1,True,False
2514,BENIGN,0,0,1,True,False
2522,BENIGN,0,0,1,True,False
2524,DDoS,1,1,0,True,False
2538,BENIGN,0,0,1,True,False
2542,BENIGN,0,0,1,True,False
2559,BENIGN,0,0,1,True,False
2591,DDoS,1,1,0,True,False
2599,DoS Hulk,1,1,0,True,False
2602,BENIGN,0,0,1,True,False
2613,DoS Hulk,1,1,0,True,False
2621,BENIGN,0,0,1,True,False
2625,BENIGN,0,0,1,True,False
2629,BENIGN,0,0,1,True,False
2663,BENIGN,0,0,1,True,False
2668,BENIGN,0,0,1,True,False
2684,BENIGN,0,0,1,True,False
2718,BENIGN,0,0,1,True,False
2719,DoS slowloris,1,0,1,False,True
2721,DDoS,1,1,0,True,False
2727,DDoS,1,1,0,True,False
2729,Web Attack - XSS,1,1,0,True,False
2749,BENIGN,0,0,1,True,False
2761,DoS slowloris,1,1,0,True,False
2767,DoS Slowhttptest,1,1,0,True,False
2790,BENIGN,0,0,1,True,False
2791,DDoS,1,1,0,True,False
2800,DDoS,1,1,0,True,False
2805,BENIGN,0,0,1,True,False
2812,DDoS,1,1,0,True,False
2815,BENIGN,0,0,1,True,False
2819,BENIGN,0,0,1,True,False
2822,DoS Hulk,1,1,0,True,False
2830,BENIGN,0,0,1,True,False
2841,BENIGN,0,0,1,True,False
2848,DoS Hulk,1,1,0,True,False
2851,DDoS,1,1,0,True,False
2859,DDoS,1,1,0,True,False
2862,DDoS,1,1,0,True,False
2869,DDoS,1,1,0,True,False
2893,BENIGN,0,0,1,True,False
2916,BENIGN,0,0,1,True,False
2924,BENIGN,0,0,1,True,False
2933,BENIGN,0,0,1,True,False
2937,BENIGN,0,0,1,True,False
2940,DDoS,1,1,0,True,False
2943,BENIGN,0,0,1,True,False
2947,DDoS,1,1,0,True,False
2948,BENIGN,0,0,1,True,False
2953,BENIGN,0,0,1,True,False
2954,DDoS,1,1,0,True,False
2955,BENIGN,0,0,1,True,False
2986,BENIGN,0,0,1,True,False
3000,DDoS,1,1,0,True,False
3008,BENIGN,0,0,1,True,False
3012,BENIGN,0,0,1,True,False
3020,DDoS,1,1,0,True,False
3022,DDoS,1,1,0,True,False
3025,BENIGN,0,0,1,True,False
3030,DDoS,1,1,0,True,False
3052,BENIGN,0,0,1,True,False
3061,DoS Hulk,1,1,0,True,False
3069,DDoS,1,1,0,True,False
3074,DoS Hulk,1,1,0,True,False
3083,DDoS,1,1,0,True,False
3087,BENIGN,0,0,1,True,False
3096,DDoS,1,1,0,True,False
3100,DDoS,1,1,0,True,False
3102,DoS slowloris,1,1,0,True,False
3103,DoS slowloris,1,1,0,True,False
3113,DDoS,1,1,0,True,False
3119,DDoS,1,1,0,True,False
3120,BENIGN,0,0,1,True,False
3122,BENIGN,0,0,1,True,False
3124,DDoS,1,1,0,True,False
3127,BENIGN,0,0,1,True,False
3142,DDoS,1,1,0,True,False
3156,BENIGN,0,0,1,True,False
3162,BENIGN,0,0,1,True,False
3177,BENIGN,0,0,1,True,False
3199,DoS Hulk,1,1,0,True,False
3201,BENIGN,0,0,1,True,False
3205,DoS Slowhttptest,1,1,0,True,False
3206,BENIGN,0,0,1,True,False
3217,DDoS,1,1,0,True,False
3219,BENIGN,0,0,1,True,False
3229,BENIGN,0,0,1,True,False
3237,BENIGN,0,0,1,True,False
3246,BENIGN,0,0,1,True,False
3255,DDoS,1,1,0,True,False
3262,BENIGN,0,0,1,True,False
3272,BENIGN,0,0,1,True,False
3276,DDoS,1,1,0,True,False
3278,BENIGN,0,0,1,True,False
3280,BENIGN,0,0,1,True,False
3286,BENIGN,0,0,1,True,False
3287,DoS Hulk,1,1,0,True,False
3291,BENIGN,0,0,1,True,False
3293,BENIGN,0,0,1,True,False
3324,BENIGN,0,0,1,True,False
3329,DDoS,1,1,0,True,False
3331,BENIGN,0,0,1,True,False
3333,BENIGN,0,0,1,True,False
3357,BENIGN,0,0,1,True,False
3373,DoS Hulk,1,1,0,True,False
3374,BENIGN,0,0,1,True,False
3377,BENIGN,0,0,1,True,False
3388,BENIGN,0,0,1,True,False
3389,BENIGN,0,0,1,True,False
3397,BENIGN,0,0,1,True,False
3408,BENIGN,0,0,1,True,False
3416,BENIGN,0,0,1,True,False
3419,PortScan,1,1,0,True,False
3422,DDoS,1,1,0,True,False
3425,BENIGN,0,0,1,True,False
3438,BENIGN,0,0,1,True,False
3449,DDoS,1,1,0,True,False
3452,BENIGN,0,0,1,True,False
3460,DDoS,1,1,0,True,False
3464,BENIGN,0,0,1,True,False
3465,BENIGN,0,0,1,True,False
3471,DDoS,1,1,0,True,False
3479,BENIGN,0,0,1,True,False
3486,BENIGN,0,0,1,True,False
3491,DoS slowloris,1,1,0,True,False
3492,DDoS,1,1,0,True,False
3497,DoS Hulk,1,1,0,True,False
3499,DoS Hulk,1,1,0,True,False
3514,DDoS,1,1,0,True,False
3516,DDoS,1,1,0,True,False
3520,BENIGN,0,0,1,True,False
3525,DDoS,1,1,0,True,False
3529,DDoS,1,1,0,True,False
3530,DoS Hulk,1,1,0,True,False
3533,BENIGN,0,0,1,True,False
3537,DoS Hulk,1,1,0,True,False
3547,BENIGN,0,0,1,True,False
3548,BENIGN,0,0,1,True,False
3572,PortScan,1,1,0,True,False
3580,DDoS,1,1,0,True,False
3591,FTP-Patator,1,1,0,True,False
3628,BENIGN,0,0,1,True,False
3631,BENIGN,0,0,1,True,False
3646,BENIGN,0,0,1,True,False
3672,DoS Hulk,1,1,0,True,False
3679,DDoS,1,1,0,True,False
3680,DoS Hulk,1,1,0,True,False
3681,BENIGN,0,0,1,True,False
3700,BENIGN,0,0,1,True,False
3713,BENIGN,0,0,1,True,False
3720,BENIGN,0,0,1,True,False
3723,DoS Hulk,1,1,0,True,False
3729,DDoS,1,1,0,True,False
3733,DDoS,1,1,0,True,False
3735,DDoS,1,1,0,True,False
3736,DDoS,1,1,0,True,False
3740,BENIGN,0,0,1,True,False
3741,BENIGN,0,0,1,True,False
3751,BENIGN,0,0,1,True,False
3761,DoS slowloris,1,0,1,False,True
3767,BENIGN,0,0,1,True,False
3769,BENIGN,0,0,1,True,False
3786,DoS Hulk,1,1,0,True,False
3801,DDoS,1,1,0,True,False
3847,DDoS,1,1,0,True,False
3852,BENIGN,0,0,1,True,False
3859,BENIGN,0,0,1,True,False
3861,BENIGN,0,0,1,True,False
3878,DDoS,1,1,0,True,False
3884,DoS Hulk,1,1,0,True,False
3908,BENIGN,0,0,1,True,False
3924,BENIGN,0,0,1,True,False
3927,DDoS,1,1,0,True,False
3936,BENIGN,0,0,1,True,False
3945,DDoS,1,1,0,True,False
3948,DoS GoldenEye,1,1,0,True,False
3957,DDoS,1,1,0,True,False
3969,DoS Hulk,1,1,0,True,False
3985,BENIGN,0,0,1,True,False
3998,DDoS,1,1,0,True,False
4008,DDoS,1,1,0,True,False
4012,DoS Hulk,1,1,0,True,False
4021,DoS slowloris,1,1,0,True,False
4024,BENIGN,0,0,1,True,False
4025,DDoS,1,1,0,True,False
4037,BENIGN,0,0,1,True,False
4041,BENIGN,0,0,1,True,False
4073,FTP-Patator,1,1,0,True,False
4077,DDoS,1,1,0,True,False
4079,DDoS,1,1,0,True,False
4080,DDoS,1,1,0,True,False
4081,BENIGN,0,0,1,True,False
4082,DoS Hulk,1,1,0,True,False
4084,DDoS,1,1,0,True,False
4086,BENIGN,0,0,1,True,False
4088,BENIGN,0,0,1,True,False
4100,DDoS,1,1,0,True,False
4103,DDoS,1,1,0,True,False
4115,BENIGN,0,0,1,True,False
4123,BENIGN,0,0,1,True,False
4146,BENIGN,0,0,1,True,False
4164,BENIGN,0,0,1,True,False
4169,BENIGN,0,0,1,True,False
4170,BENIGN,0,0,1,True,False
4172,BENIGN,0,0,1,True,False
4173,Web Attack - Brute Force,1,1,0,True,False
4184,BENIGN,0,0,1,True,False
4189,BENIGN,0,0,1,True,False
4190,BENIGN,0,0,1,True,False
4193,DoS Hulk,1,1,0,True,False
4195,DoS slowloris,1,1,0,True,False
4199,BENIGN,0,0,1,True,False
4201,BENIGN,0,0,1,True,False
4214,DDoS,1,1,0,True,False
4224,BENIGN,0,0,1,True,False
4240,DDoS,1,1,0,True,False
4249,DDoS,1,1,0,True,False
4250,BENIGN,0,0,1,True,False
4254,BENIGN,0,0,1,True,False
4267,BENIGN,0,0,1,True,False
4276,BENIGN,0,0,1,True,False
4279,BENIGN,0,0,1,True,False
4288,BENIGN,0,0,1,True,False
4292,DDoS,1,1,0,True,False
4304,DoS Hulk,1,1,0,True,False
4305,DoS Hulk,1,1,0,True,False
4307,DDoS,1,1,0,True,False
4314,BENIGN,0,0,1,True,False
4322,DDoS,1,1,0,True,False
4324,BENIGN,0,0,1,True,False
4327,BENIGN,0,0,1,True,False
4341,DDoS,1,1,0,True,False
4353,BENIGN,0,0,1,True,False
4356,BENIGN,0,0,1,True,False
4367,DoS Hulk,1,1,0,True,False
4375,BENIGN,0,0,1,True,False
4386,DoS Hulk,1,1,0,True,False
4392,BENIGN,0,0,1,True,False
4404,BENIGN,0,0,1,True,False
4410,DDoS,1,1,0,True,False
4413,DoS Hulk,1,1,0,True,False
4423,BENIGN,0,0,1,True,False
4428,BENIGN,0,0,1,True,False
4439,BENIGN,0,0,1,True,False
4467,BENIGN,0,0,1,True,False
4477,BENIGN,0,0,1,True,False
4478,DDoS,1,1,0,True,False
4484,BENIGN,0,0,1,True,False
4491,BENIGN,0,0,1,True,False
4496,BENIGN,0,0,1,True,False
4499,BENIGN,0,0,1,True,False
4508,DoS Slowhttptest,1,1,0,True,False
4515,DDoS,1,1,0,True,False
4521,BENIGN,0,0,1,True,False
4541,BENIGN,0,0,1,True,False
4563,DDoS,1,1,0,True,False
4566,DDoS,1,1,0,True,False
4572,DDoS,1,1,0,True,False
4579,BENIGN,0,0,1,True,False
4595,BENIGN,0,0,1,True,False
4600,BENIGN,0,0,1,True,False
4602,DDoS,1,1,0,True,False
4620,DDoS,1,1,0,True,False
4622,DDoS,1,1,0,True,False
4650,BENIGN,0,0,1,True,False
4654,BENIGN,0,0,1,True,False
4665,BENIGN,0,0,1,True,False
4670,DoS Hulk,1,1,0,True,False
4673,Web Attack - Brute Force,1,1,0,True,False
4683,BENIGN,0,0,1,True,False
4686,BENIGN,0,0,1,True,False
4690,DDoS,1,1,0,True,False
4695,BENIGN,0,0,1,True,False
4708,BENIGN,0,0,1,True,False
4722,BENIGN,0,0,1,True,False
4723,BENIGN,0,0,1,True,False
4725,BENIGN,0,0,1,True,False
4727,BENIGN,0,0,1,True,False
4744,DoS Hulk,1,1,0,True,False
4747,DDoS,1,1,0,True,False
4757,BENIGN,0,0,1,True,False
4775,DoS Hulk,1,1,0,True,False
4783,BENIGN,0,0,1,True,False
4822,DDoS,1,1,0,True,False
4834,DDoS,1,1,0,True,False
4837,DDoS,1,1,0,True,False
4839,DoS Hulk,1,1,0,True,False
4841,DDoS,1,1,0,True,False
4843,BENIGN,0,0,1,True,False
4852,BENIGN,0,0,1,True,False
4856,BENIGN,0,0,1,True,False
4868,BENIGN,0,0,1,True,False
4879,DDoS,1,1,0,True,False
4883,DDoS,1,1,0,True,False
4885,BENIGN,0,0,1,True,False
4886,BENIGN,0,0,1,True,False
4888,BENIGN,0,0,1,True,False
4894,DoS Hulk,1,1,0,True,False
4897,BENIGN,0,0,1,True,False
4916,DoS Hulk,1,1,0,True,False
4932,DDoS,1,1,0,True,False
4936,DoS Hulk,1,1,0,True,False
4940,DDoS,1,1,0,True,False
4946,DDoS,1,1,0,True,False
4954,BENIGN,0,0,1,True,False
4961,DDoS,1,1,0,True,False
4963,BENIGN,0,0,1,True,False
4967,DDoS,1,1,0,True,False
4974,BENIGN,0,0,1,True,False
4977,BENIGN,0,0,1,True,False
4979,DDoS,1,1,0,True,False
4986,BENIGN,0,0,1,True,False
4990,BENIGN,0,0,1,True,False
4992,BENIGN,0,0,1,True,False
5015,BENIGN,0,0,1,True,False
5021,BENIGN,0,0,1,True,False
5032,BENIGN,0,0,1,True,False
5035,DDoS,1,1,0,True,False
5036,BENIGN,0,0,1,True,False
5037,BENIGN,0,0,1,True,False
5038,DDoS,1,1,0,True,False
5043,BENIGN,0,0,1,True,False
5046,DDoS,1,1,0,True,False
5047,BENIGN,0,0,1,True,False
5058,BENIGN,0,0,1,True,False
5069,DDoS,1,1,0,True,False
5070,DoS Hulk,1,1,0,True,False
5090,DDoS,1,1,0,True,False
5102,DoS Hulk,1,1,0,True,False
5108,DDoS,1,1,0,True,False
5114,DDoS,1,1,0,True,False
5119,BENIGN,0,0,1,True,False
5135,DDoS,1,1,0,True,False
5141,BENIGN,0,0,1,True,False
5151,DDoS,1,1,0,True,False
5153,DDoS,1,1,0,True,False
5157,BENIGN,0,0,1,True,False
5170,BENIGN,0,0,1,True,False
5189,DDoS,1,1,0,True,False
5195,DoS Slowhttptest,1,1,0,True,False
5196,BENIGN,0,0,1,True,False
5200,BENIGN,0,0,1,True,False
5205,DDoS,1,1,0,True,False
5211,DDoS,1,1,0,True,False
5212,DDoS,1,1,0,True,False
5215,DoS slowloris,1,1,0,True,False
5239,BENIGN,0,0,1,True,False
5245,DoS Hulk,1,1,0,True,False
5252,DoS Hulk,1,1,0,True,False
5254,BENIGN,0,0,1,True,False
5257,DoS Slowhttptest,1,1,0,True,False
5258,BENIGN,0,0,1,True,False
5261,DoS GoldenEye,1,1,0,True,False
5264,DDoS,1,1,0,True,False
5268,BENIGN,0,0,1,True,False
5269,BENIGN,0,0,1,True,False
5286,BENIGN,0,0,1,True,False
5299,DDoS,1,1,0,True,False
5304,DDoS,1,1,0,True,False
5322,BENIGN,0,0,1,True,False
5334,BENIGN,0,0,1,True,False
5350,DDoS,1,1,0,True,False
5353,DDoS,1,1,0,True,False
5366,BENIGN,0,0,1,True,False
5376,DDoS,1,1,0,True,False
5384,BENIGN,0,0,1,True,False
5387,BENIGN,0,0,1,True,False
5390,BENIGN,0,0,1,True,False
5391,DDoS,1,1,0,True,False
5393,DDoS,1,1,0,True,False
5398,BENIGN,0,0,1,True,False
5412,BENIGN,0,0,1,True,False
5416,DDoS,1,1,0,True,False
5426,BENIGN,0,0,1,True,False
5433,DDoS,1,1,0,True,False
5449,BENIGN,0,0,1,True,False
5450,BENIGN,0,0,1,True,False
5462,DoS Hulk,1,1,0,True,False
5463,BENIGN,0,0,1,True,False
5469,DDoS,1,1,0,True,False
5475,DoS slowloris,1,1,0,True,False
5485,BENIGN,0,0,1,True,False
5486,DoS slowloris,1,1,0,True,False
5487,DDoS,1,1,0,True,False
5494,BENIGN,0,0,1,True,False
5500,BENIGN,0,0,1,True,False
5510,DoS Hulk,1,1,0,True,False
